price,normalPrice,discount,discount_percentage,url,name
6.48,12.95,"6,48 €",-50%,https://jugamosuna.es/tienda/733/comprar-guerra-fria-cia-vs-kgb-barato.html,Guerra Fria: CIA vs KGB (Edición Revisada)
34.98,69.95,"34,98 €",-50%,https://jugamosuna.es/tienda/10109/comprar-al-servicio-de-su-majestad-the-world-of-smog-barato.html,Al servicio de su majestad - The World of Smog
21.97,39.95,"17,98 €",-45%,https://jugamosuna.es/tienda/2006/comprar-riverboat-barato.html,Riverboat
20.97,34.950001,"13,98 €",-40%,https://jugamosuna.es/tienda/1934/comprar-mountains-of-madness-berge-des-wahnsinns-barato.html,Mountains of Madness (Berge des Wahnsinns) - (Alemán)
9.98,19.95,"9,98 €",-50%,https://jugamosuna.es/tienda/5750/comprar-zombies-el-juego-de-cartas-barato.html,Zombies!!! El juego de cartas
9.9,16.5,"6,60 €",-40%,https://jugamosuna.es/tienda/2251/comprar-nutz-barato.html,Nutz!
13.77,22.95,"9,18 €",-40%,https://jugamosuna.es/tienda/2843/comprar-cinco-barato.html,Cinco (Inglés)
7.77,12.95,"5,18 €",-40%,https://jugamosuna.es/tienda/2846/comprar-frachtexpress-barato.html,FrachtExpress (Alemán)
27.97,39.95,"11,99 €",-30%,https://jugamosuna.es/tienda/2671/compra-raxxon-barato.html,Raxxon
9.98,19.95,"9,98 €",-50%,https://jugamosuna.es/tienda/10108/comprar-invasion-alienigena-el-fin-del-mundo-barato.html,Invasión alienígena - El Fin del Mundo
23.97,39.95,"15,98 €",-40%,https://jugamosuna.es/tienda/1141/comprar-star-wars-x-wing-los-mas-buscados-barato.html,Star Wars X-Wing: Los más buscados
19.98,39.95,"19,98 €",-50%,https://jugamosuna.es/tienda/399/colonos-del-imperio.html,Colonos del Imperio
24.98,49.95,"24,98 €",-50%,https://jugamosuna.es/tienda/2568/comprar-tierras-bajas-barato.html,Tierras Bajas
41.97,59.950001,"17,99 €",-30%,https://jugamosuna.es/tienda/1056/comprar-dead-of-winter-la-larga-noche-barato.html,Dead of Winter: La Larga Noche
59.46,69.95,"10,49 €",-15%,https://jugamosuna.es/tienda/3207/Comprar-La-Gran-Guerra-Barato.html,La Gran Guerra
17.97,29.95,"11,98 €",-40%,https://jugamosuna.es/tienda/2668/comprar-star-wars-x-wing-ases-rebeldes-barato.html,Ases Rebeldes - Star Wars X-Wing
7.48,14.95,"7,48 €",-50%,https://jugamosuna.es/tienda/1058/comprar-star-wars-destiny-caja-de-inicio-rey-barato.html,Star Wars Destiny - Caja de inicio Rey
26.97,44.95,"17,98 €",-40%,https://jugamosuna.es/tienda/3225/comprar-mystic-vale-Ingles-barato.html,Mystic Vale (Inglés)
41.97,59.950001,"17,99 €",-30%,https://jugamosuna.es/tienda/806/comprar-la-furia-de-dracula-barato.html,La Furia de Drácula
35.97,59.950001,"23,98 €",-40%,https://jugamosuna.es/tienda/914/regreso-a-hoth-barato.html,Star Wars Imperial Assault: Regreso a Hoth
5.97,9.949999,"3,98 €",-40%,https://jugamosuna.es/tienda/6271/comprar-keyforge-mundos-en-colision-mazo-de-arconte-barato.html,KeyForge - Mundos en Colisión Mazo de Arconte
12.48,24.95,"12,48 €",-50%,https://jugamosuna.es/tienda/2491/comprar-gloom-cthulhu-gloom-barato.html,Gloom - Cthulhu Gloom (Segunda Edición)
5.97,9.949999,"3,98 €",-40%,https://jugamosuna.es/tienda/5126/comprar-keyforge-la-edad-de-la-ascension-barato.html,KeyForge: La Edad de la Ascensión
14.98,29.95,"14,98 €",-50%,https://jugamosuna.es/tienda/3052/comprar-reconquista-barato.html,Reconquista
1.5,2.99,"1,50 €",-50%,https://jugamosuna.es/tienda/8058/comprar-star-wars-destiny-operaciones-encubiertas-sobres-de-ampliacion-barato.html,Star Wars: Destiny. Operaciones encubiertas: Sobres de ampliación
1.5,2.99,"1,50 €",-50%,https://jugamosuna.es/tienda/5611/comprar-star-wars-destiny-la-chispa-de-la-esperanza-sobres-de-ampliacion-barato.html,Star Wars Destiny - La chispa de la esperanza: Sobres de ampliación
